first_name,second_name,web_name,position,team,proj_points_next_5,proj_points_next_6,chance_of_playing_this_round,chance_of_playing_next_round,news,now_cost,selected_by_percent,value_form,value_season,total_points,event_points,points_per_game,form,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,minutes,goals_scored,assists,clean_sheets,goals_conceded,starts,defensive_contribution,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries,defcon_points,GW39_proj_points,GW40_proj_points,GW41_proj_points,GW42_proj_points,GW43_proj_points,GW44_proj_points,GW39_opp,GW40_opp,GW41_opp,GW42_opp,GW43_opp,GW44_opp,defcon_actions,defcon_actions_per_90,name,season_stats_gw
James,Tarkowski,Tarkowski,Defender,EVE,16.626168379728227,20.4081179116783,100.0,100.0,,5.8,12.6,0.0,29.3,170,3,4.6,0.0,0.07,0.06,0.13,,995.6,235.6,422.0,165.7,90.0,2,3,11,48,37,10.0,10.0,1.0,9.0,2.0,2.0,3.7848656546525916,3.6784766043324146,3.142558357036366,3.2150413279626537,2.8052264357442005,3.781949531950072,,,,,,,10.0,10.0,Everton,38
Pedro,Porro Sauceda,Pedro Porro,Defender,TOT,17.076405292565262,20.36129467085884,100.0,100.0,,5.2,11.7,0.0,22.5,117,10,3.4,0.0,0.03,0.14,0.17,,690.2,881.7,202.0,177.5,90.0,1,3,9,40,32,11.0,11.0,5.0,6.0,3.0,2.0,3.902809504730279,3.4379369533445563,3.337948748842536,3.317937633504041,3.0797724521438496,3.284889378293577,,,,,,,11.0,11.0,Spurs,38
Junior,Kroupi,Kroupi.Jr,Forward,BOU,17.169302625085553,20.33636229342371,100.0,100.0,,4.7,7.6,0.0,24.0,113,2,3.4,0.0,0.45,0.08,0.53,,532.2,306.9,563.0,139.9,72.0,13,0,10,21,21,3.0,3.75,0.0,1.0,2.0,0.0,3.4553809076600652,2.793333276983987,3.255636730733377,3.909285156825823,3.7556665528822992,3.167059668338157,,,,,,,3.0,3.75,Bournemouth,38
Mohamed,Salah,M.Salah,Midfielder,LIV,16.406676393229475,20.332072805429696,100.0,100.0,,14.0,15.2,0.0,8.8,123,6,4.6,0.0,0.35,0.23,0.58,,524.8,740.7,805.0,207.1,73.0,7,7,7,35,23,8.0,9.863013698630137,1.0,0.0,7.0,0.0,3.6491940983190045,3.2429558623930697,3.2305208904117952,3.2446999303691832,3.039305611736423,3.925396412200222,,,,,,,8.0,9.863013698630137,Liverpool,38
Viktor,Gyökeres,Gyökeres,Forward,ARS,15.074125101076003,20.271402642220337,100.0,100.0,,9.1,16.4,0.0,14.1,128,1,3.6,0.0,0.5,0.08,0.58,,539.6,271.7,772.0,157.5,7.0,14,1,12,14,26,2.0,25.714285714285715,0.0,0.0,2.0,0.0,2.70115483755605,3.2355185374233555,2.587963330956488,2.7399818362448958,3.809506558895214,5.197277541144333,,,,,,,2.0,25.714285714285715,Arsenal,38
William,Osula,Osula,Forward,NEW,16.79906068663928,20.19816757877743,100.0,100.0,,5.5,2.1,0.0,13.8,76,2,3.2,0.0,0.48,0.07,0.55,,256.6,82.6,284.0,62.2,65.0,7,1,2,14,8,2.0,2.769230769230769,1.0,0.0,1.0,0.0,3.4725759455534377,3.289626237612287,3.033397146996494,3.599383617764569,3.4040777387124903,3.399106892138148,,,,,,,2.0,2.769230769230769,Newcastle,38
Robert,Lynch Sánchez,Sánchez,Goalkeeper,CHE,17.247063298522818,20.170933888781864,100.0,100.0,,4.8,10.3,0.0,23.5,113,2,3.2,0.0,0.0,0.0,0.0,,822.2,50.0,0.0,86.7,90.0,0,1,9,49,35,0.0,0.0,0.0,0.0,14.0,0.0,3.621847908458546,3.817498634928238,3.572818818581534,3.4820888729736943,2.7528090635808047,2.9238705902590465,,,,,,,0.0,0.0,Chelsea,38
Harry,Wilson,Wilson,Midfielder,FUL,16.580265000918857,20.1416238046053,100.0,100.0,,5.8,17.4,0.0,29.0,168,4,4.7,0.0,0.2,0.16,0.36,,707.2,661.1,601.0,196.9,18.0,10,9,9,38,32,1.0,5.0,1.0,0.0,0.0,0.0,3.1370724600476656,3.839337835467403,2.9817090893115528,3.566819703006428,3.0553259130858095,3.5613588036864434,,,,,,,1.0,5.0,Fulham,38
Morgan,Gibbs-White,Gibbs-White,Midfielder,NFO,16.279005823407303,20.124187990450064,100.0,100.0,,7.6,9.2,0.0,24.7,188,9,5.1,0.0,0.31,0.08,0.39,,843.8,747.7,836.0,242.5,90.0,15,4,10,45,35,3.0,3.0,0.0,0.0,3.0,0.0,3.570493781218514,2.907048672209057,3.0832674233809283,3.0225457612592566,3.6956501853395487,3.8451821670427626,,,,,,,3.0,3.0,Nott'm Forest,38
Valentín,Castellanos,Taty,Forward,WHU,17.561723873065308,20.10920777201096,,,,5.5,0.3,0.0,11.1,61,8,3.4,0.0,0.37,0.05,0.42,,280.6,175.5,595.0,103.9,87.0,6,1,9,16,17,4.0,4.137931034482759,0.0,2.0,2.0,0.0,2.9939882375602527,3.463903615845364,3.9762147833108603,3.602923514959233,3.524693721389597,2.5474838989456554,,,,,,,4.0,4.137931034482759,West Ham,38
