first_name,second_name,web_name,position,team,proj_points_next_5,proj_points_next_6,chance_of_playing_this_round,chance_of_playing_next_round,news,now_cost,selected_by_percent,value_form,value_season,total_points,event_points,points_per_game,form,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,creativity,threat,ict_index,minutes,goals_scored,assists,clean_sheets,goals_conceded,starts,defensive_contribution,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries,defcon_points,GW39_proj_points,GW40_proj_points,GW41_proj_points,GW42_proj_points,GW43_proj_points,GW44_proj_points,GW39_opp,GW40_opp,GW41_opp,GW42_opp,GW43_opp,GW44_opp,player_id,team_code,defcon_actions,defcon_actions_per_90,role,name,season_stats_gw
Declan,Rice,Rice,Midfielder,ARS,18.654299058689546,22.130525082701936,100.0,100.0,,7.2,23.3,0.4,25.6,184,0,5.1,3.2,0.09,0.21,0.3,,827.2,1027.4,298.0,215.4,0.0,4,9,18,25,35,0.0,0.0,0.0,0.0,0.0,0.0,3.368336152631254,5.077242320685732,3.10734325252811,3.7046820147928554,3.3966953180515933,3.4762260240123894,,,,,,,21,3,0.0,0.0,Midfielder,Arsenal,38
Harry,Wilson,Wilson,Midfielder,FUL,18.19989379114722,22.0851882218838,100.0,100.0,,5.8,17.4,0.4,29.0,168,4,4.7,2.2,0.2,0.16,0.36,,707.2,661.1,601.0,196.9,18.0,10,9,9,38,32,1.0,5.0,1.0,0.0,0.0,0.0,3.076920196652304,3.4118866060450257,3.472280678182965,4.252376451065542,3.986429859201383,3.885294430736581,,,,,,,329,54,1.0,5.0,Midfielder,Fulham,38
Pedro,Porro Sauceda,Pedro Porro,Defender,TOT,18.63413883772688,22.014020823787586,100.0,100.0,,5.2,11.7,0.7,22.5,117,10,3.4,3.8,0.03,0.14,0.17,,690.2,881.7,202.0,177.5,90.0,1,3,9,40,32,11.0,11.0,5.0,6.0,3.0,2.0,3.8079765304872026,3.7158621400146474,3.758051273261514,3.287322131897544,4.064926762065975,3.379881986060707,,,,,,,568,6,11.0,11.0,Defender,Spurs,38
Ismaïla,Sarr,Sarr,Midfielder,CRY,18.41716996316069,21.997951982213753,100.0,100.0,,6.4,5.6,0.5,18.3,117,1,4.2,3.4,0.45,0.05,0.5,,479.8,269.4,601.0,135.1,45.0,9,2,9,29,24,3.0,6.0,0.0,1.0,2.0,0.0,4.47068906567724,3.921983807107747,2.7703230565142585,3.4741641990441896,3.7800098348172515,3.5807820190530655,,,,,,,267,31,3.0,6.0,Midfielder,Crystal Palace,38
Florian,Wirtz,Wirtz,Midfielder,LIV,18.650781213401828,21.861935633301904,100.0,100.0,,8.3,8.5,0.1,15.1,125,1,3.8,1.0,0.26,0.19,0.45,,526.4,908.2,665.0,210.0,17.0,5,4,10,32,27,6.0,31.764705882352942,1.0,1.0,4.0,0.0,4.025350989821444,3.4555402263816157,3.2602391164879494,3.9252295561591515,3.98442132455167,3.2111544199000757,,,,,,,382,14,6.0,31.764705882352942,Midfielder,Liverpool,38
Thierno,Barry,Barry,Forward,EVE,18.198203331508378,21.71248869508038,,,,5.7,0.8,0.7,16.7,95,2,2.5,3.8,0.39,0.02,0.41,,341.0,207.7,501.0,102.5,83.0,8,0,7,34,21,4.0,4.337349397590361,0.0,2.0,2.0,0.0,3.6286654501677904,3.0878840366200047,3.9612223027373408,3.188933532828439,4.331498009154804,3.5142853635720024,,,,,,,310,11,4.0,4.337349397590361,Forward,Everton,38
Dean,Henderson,Henderson,Goalkeeper,CRY,17.82820293767978,21.49937748786779,,,,5.1,9.0,0.3,25.7,131,2,3.5,1.4,0.0,0.0,0.0,,837.8,10.0,0.0,84.7,90.0,0,0,11,51,37,0.0,0.0,0.0,0.0,11.0,0.0,3.66578615726045,3.8696571305167864,4.362498445695366,2.863376771074445,3.0668844331327314,3.671174550188011,,,,,,,253,31,0.0,0.0,Goalkeeper,Crystal Palace,38
Viktor,Gyökeres,Gyökeres,Forward,ARS,17.287854075652948,21.452930668470593,100.0,100.0,,9.1,16.4,0.5,14.1,128,1,3.6,5.0,0.5,0.08,0.58,,539.6,271.7,772.0,157.5,7.0,14,1,12,14,26,2.0,25.714285714285715,0.0,0.0,2.0,0.0,3.4424344652021523,3.293254237139227,2.849223128569522,3.1974869396008807,4.505455305141167,4.165076592817646,,,,,,,666,3,2.0,25.714285714285715,Forward,Arsenal,38
Dango,Ouattara,O.Dango,Midfielder,BRE,17.674097047733195,21.407025077757535,100.0,100.0,,5.6,1.6,1.1,24.3,136,2,4.2,6.0,0.31,0.16,0.47,,509.8,422.8,702.0,162.8,90.0,7,8,6,35,25,7.0,7.0,1.0,4.0,2.0,0.0,3.832296956050752,4.369515259553608,2.531512793693297,3.1793459407466664,3.761426097688873,3.732928030024341,,,,,,,83,94,7.0,7.0,Midfielder,Brentford,38
Nick,Woltemade,Woltemade,Forward,NEW,17.431654530905703,21.367291002173907,100.0,100.0,,6.7,6.5,0.4,16.1,108,2,3.3,3.0,0.31,0.07,0.38,,447.2,314.4,425.0,117.5,77.0,8,4,8,29,24,1.0,1.168831168831169,1.0,0.0,0.0,0.0,3.7860628585791036,3.0268922621908603,2.61357646189611,3.8771074709313096,4.128015477308319,3.935636471268203,,,,,,,714,4,1.0,1.168831168831169,Forward,Newcastle,38
Nathan,Collins,Collins,Defender,BRE,18.174067167147456,21.218885839313078,,,,4.9,2.4,0.7,26.3,129,3,3.7,3.2,0.07,0.05,0.12,,848.6,143.8,325.0,131.9,90.0,1,2,9,44,32,14.0,14.0,3.0,11.0,6.0,2.0,3.896527740961067,3.4467926553438404,4.238178945962865,3.25827358818126,3.3342942366984216,3.0448186721656234,,,,,,,106,94,14.0,14.0,Defender,Brentford,38
Jordan,Pickford,Pickford,Goalkeeper,EVE,17.725939933473356,21.11728768928593,,,,5.6,13.0,0.3,24.1,135,2,3.6,1.8,0.0,0.01,0.01,,885.2,20.3,2.0,90.8,90.0,0,0,11,50,38,0.0,0.0,0.0,3.0,7.0,0.0,3.7744506440584273,3.6691091511754683,4.022462013036288,3.203489933388956,3.0564281918142147,3.3913477558125744,,,,,,,287,11,0.0,0.0,Goalkeeper,Everton,38
Amad,Diallo,Amad,Midfielder,MUN,17.685057285493286,21.03536352158168,100.0,100.0,,6.2,1.3,0.5,14.7,91,7,2.8,3.2,0.21,0.18,0.39,,436.6,596.1,600.0,163.5,90.0,2,5,6,33,27,10.0,10.0,1.0,2.0,7.0,0.0,3.251109703475669,2.803980327663308,4.16890401515374,3.493261317869853,3.9678019213307163,3.3503062360883944,,,,,,,452,1,10.0,10.0,Midfielder,Man Utd,38
Luke,O'Nien,O'Nien,Defender,SUN,17.514586912837558,20.923110600721444,100.0,100.0,,4.0,0.1,0.6,6.5,26,6,2.2,2.5,0.02,0.02,0.04,,103.0,27.6,40.0,17.1,90.0,0,1,2,7,5,4.0,4.0,1.0,3.0,1.0,0.0,4.8682780252961955,3.2978497285856694,3.10183187119623,3.00455185196685,3.2420754357926143,3.4085236878838856,,,,,,,539,56,4.0,4.0,Defender,Sunderland,38
Jan Paul,van Hecke,Van Hecke,Defender,BHA,16.981146003672414,20.87768210787133,100.0,100.0,,4.7,10.7,0.6,31.5,148,1,4.1,2.8,0.09,0.04,0.13,,980.6,240.4,295.0,152.0,90.0,3,3,10,44,36,7.0,7.0,1.0,6.0,2.0,0.0,3.122253377304439,3.871475097975536,2.8576716874181125,3.2752971506251143,3.8544486903492103,3.8965361041989155,,,,,,,151,36,7.0,7.0,Defender,Brighton,38
Francisco Evanilson,de Lima Barbosa,Evanilson,Forward,BOU,17.67194472150982,20.855688448286323,100.0,100.0,,6.6,2.4,0.4,17.4,115,2,3.2,2.5,0.35,0.05,0.4,,350.6,397.9,809.0,155.5,72.0,6,7,11,40,32,7.0,8.75,1.0,2.0,4.0,0.0,3.379142087705442,3.6521195776765683,2.965294217527926,3.0279491229867728,4.647439715613112,3.183743726776502,,,,,,,97,91,7.0,8.75,Forward,Bournemouth,38
Pedro,Lomba Neto,Neto,Midfielder,CHE,17.63890640390408,20.735408243490674,100.0,100.0,,7.0,3.9,0.4,17.9,125,6,3.7,2.8,0.16,0.23,0.39,,523.0,836.2,505.0,186.7,64.0,5,7,11,33,30,2.0,2.8125,0.0,0.0,2.0,0.0,3.7096025588746553,3.8043532254285477,3.0989273173500473,3.719569621753795,3.306453680497035,3.096501839586595,,,,,,,236,8,2.0,2.8125,Midfielder,Chelsea,38
Junior,Kroupi,Kroupi.Jr,Forward,BOU,16.871468034295205,20.722724988086632,100.0,100.0,,4.7,7.6,1.0,24.0,113,2,3.4,4.5,0.45,0.08,0.53,,532.2,306.9,563.0,139.9,72.0,13,0,10,21,21,3.0,3.75,0.0,1.0,2.0,0.0,3.6573749415750085,2.602432364896688,2.7567997107441267,3.9997290947206063,3.855131922358777,3.851256953791429,,,,,,,100,91,3.0,3.75,Forward,Bournemouth,38
Alisson,Becker,A.Becker,Goalkeeper,LIV,17.814291889008935,20.71475596671157,75.0,100.0,,5.4,5.1,0.1,16.9,91,2,3.5,0.5,0.0,0.0,0.0,,479.8,0.1,0.0,47.8,90.0,0,0,8,31,26,0.0,0.0,0.0,0.0,8.0,0.0,4.067400777386881,4.0405355715851154,3.613900996031469,2.960038799694866,3.132415744310604,2.900464077702635,,,,,,,366,14,0.0,0.0,Goalkeeper,Liverpool,38
David,Raya Martín,Raya,Goalkeeper,ARS,16.957584597731287,20.690741166867582,,,,6.2,36.4,0.8,26.1,162,0,4.4,5.2,0.0,0.0,0.0,,541.6,33.5,0.0,57.5,0.0,0,0,19,26,37,0.0,0.0,0.0,0.0,0.0,0.0,4.257930092114944,2.939912217594048,3.0565482452477215,3.560221308935196,3.142972733839377,3.733156569136293,,,,,,,1,3,0.0,0.0,Goalkeeper,Arsenal,38
Enzo,Le Fée,E.Le Fée,Midfielder,SUN,17.617554446240096,20.620295912574676,100.0,100.0,,4.8,1.6,1.3,30.6,147,5,4.1,6.2,0.16,0.18,0.34,,725.8,816.4,324.0,186.9,90.0,5,6,10,43,33,11.0,11.0,4.0,3.0,4.0,0.0,2.655175278238942,3.3131235558217607,4.060935792217528,3.464595756430465,4.1237240635314025,3.002741466334582,,,,,,,547,56,11.0,11.0,Midfielder,Sunderland,38
